filename,subject_id,attr_eye_height_ratio,attr_eye_width_ratio,attr_eye_aspect_ratio,attr_eye_tilt_deg,attr_eye_spacing_ratio,attr_eye_asymmetry,attr_iris_vertical_pos,attr_brow_length_ratio,attr_brow_thickness_ratio,attr_brow_tilt_deg,attr_brow_curvature,attr_brow_gap_ratio,attr_brow_eye_gap,attr_nose_length_ratio,attr_nose_width_ratio,attr_nose_bridge_depth,attr_nose_aspect,attr_nose_tip_angle,attr_mouth_width_ratio,attr_lip_thickness_ratio,attr_lip_ratio,attr_mouth_corner_angle,attr_forehead_height_ratio,attr_forehead_width_ratio,attr_chin_length_ratio,attr_jaw_width_ratio,attr_chin_angle_deg,attr_face_ratio,attr_upper_lower_ratio,attr_philtrum_length_ratio,attr_cheekbone_width_ratio,attr_cheekbone_protrusion,attr_cheekbone_position,eye_type,eyebrow_type,nose_type,mouth_type,forehead_type,chin_type,face_shape,philtrum_type,cheekbone_type
F0039_01_1_M.png,F0039,대,장,둥근형,처진눈,보통,대칭,상삼백,중,굵은,상승형,완만,넓음,넓음,중,보통,낮음,균형,매부리,중,보통,아랫입술우세,처진입,넓음,넓음,짧음,좁음,보통,보통,균형,보통,보통,돌출,높음,삼백안,보통눈썹,보통코,보통입,넓은이마,짧은턱,계란형,보통인중,높은광대
F0040_01_1_M.png,F0040,중,중,보통,처진눈,보통,대칭,상삼백,장,굵은,상승형,완만,넓음,넓음,중,보통,낮음,균형,들창코,중,보통,아랫입술우세,수평,넓음,넓음,짧음,보통,보통,넓적,균형,짧음,보통,돌출,높음,삼백안,농미,들창코,일자입,넓은이마,짧은턱,둥근형,짧은인중,높은광대
F0041_01_1_M.png,F0041,중,중,보통,올라간눈,보통,대칭,정상,장,보통,수평,직선,보통,좁음,장,보통,낮음,길쭉,보통,소,보통,아랫입술우세,수평,넓음,보통,짧음,좁음,보통,보통,균형,긴,좁음,돌출,보통,보통눈,일자눈썹,보통코,보통입,높은이마,짧은턱,계란형,긴인중,보통광대
F0042_01_1_M.png,F0042,소,중,세장형,수평,좁음,비대칭,정상,중,가늘,상승형,완만,좁음,보통,중,좁음,높음,길쭉,매부리,대,보통,아랫입술우세,올라간입,보통,좁음,짧음,좁음,뾰족,길쭉,균형,보통,보통,보통,보통,음양안,초승달눈썹,보통코,보통입,좁은이마,V라인턱,긴형,보통인중,보통광대
F0043_01_1_M.png,F0043,대,장,보통,처진눈,보통,비대칭,하삼백,중,굵은,상승형,완만,보통,넓음,단,좁음,높음,넓적,매부리,소,두꺼움,아랫입술우세,처진입,보통,보통,보통,보통,둥근,넓적,균형,보통,보통,평탄,높음,음양안,보통눈썹,단코,받침입,보통이마,둥근턱,둥근형,보통인중,평평한광대
F0044_01_1_M.png,F0044,소,중,세장형,수평,보통,대칭,정상,중,굵은,수평,완만,보통,보통,중,좁음,보통,균형,보통,소,보통,아랫입술우세,수평,보통,보통,보통,좁음,보통,넓적,균형,보통,좁음,보통,보통,보통눈,보통눈썹,보통코,보통입,보통이마,보통턱,둥근형,보통인중,보통광대
F0045_01_1_M.png,F0045,소,장,세장형,수평,보통,대칭,상삼백,중,보통,하강형,완만,보통,넓음,중,보통,보통,균형,들창코,대,보통,아랫입술우세,올라간입,보통,보통,보통,좁음,뾰족,보통,균형,보통,좁음,보통,보통,삼백안,초승달눈썹,들창코,보통입,보통이마,V라인턱,보통형,보통인중,보통광대
F0046_01_1_M.png,F0046,중,중,보통,수평,보통,대칭,정상,단,가늘,수평,아치형,보통,보통,단,보통,높음,균형,보통,대,보통,아랫입술우세,수평,보통,좁음,짧음,보통,보통,길쭉,균형,보통,보통,평탄,낮음,도화안,초승달눈썹,단코,보통입,좁은이마,짧은턱,계란형,보통인중,평평한광대
F0047_01_1_M.png,F0047,소,단,세장형,수평,보통,비대칭,정상,단,보통,수평,완만,좁음,보통,단,보통,높음,넓적,보통,대,두꺼움,아랫입술우세,수평,보통,좁음,보통,보통,뾰족,보통,균형,보통,넓음,평탄,낮음,음양안,연미,단코,받침입,좁은이마,보통턱,보통형,보통인중,평평한광대
F0048_01_1_M.png,F0048,중,단,둥근형,수평,보통,대칭,정상,중,보통,하강형,완만,보통,보통,중,좁음,높음,균형,들창코,소,두꺼움,아랫입술우세,수평,좁음,좁음,보통,보통,보통,보통,균형,짧음,보통,보통,보통,도화안,초승달눈썹,들창코,받침입,좁은이마,보통턱,계란형,짧은인중,보통광대
F0049_01_1_M.png,F0049,중,중,보통,수평,좁음,대칭,정상,단,가늘,수평,완만,좁음,좁음,중,보통,보통,균형,보통,중,두꺼움,아랫입술우세,올라간입,보통,좁음,짧음,좁음,뾰족,길쭉,균형,보통,보통,평탄,보통,도화안,초승달눈썹,보통코,복입,좁은이마,V라인턱,긴형,보통인중,평평한광대
F0050_01_1_M.png,F0050,대,장,둥근형,처진눈,보통,대칭,상삼백,단,보통,상승형,아치형,보통,넓음,단,보통,보통,넓적,매부리,중,두꺼움,아랫입술우세,처진입,보통,보통,보통,좁음,보통,보통,균형,짧음,보통,평탄,높음,삼백안,초승달눈썹,단코,받침입,보통이마,보통턱,계란형,짧은인중,평평한광대
F0051_01_1_M.png,F0051,대,중,둥근형,처진눈,넓음,대칭,정상,중,굵은,상승형,아치형,좁음,넓음,단,보통,보통,넓적,매부리,소,두꺼움,아랫입술우세,수평,좁음,넓음,짧음,보통,보통,넓적,균형,보통,보통,보통,높음,도화안,연미,단코,받침입,좁은이마,짧은턱,둥근형,보통인중,보통광대
F0052_01_1_M.png,F0052,중,장,보통,올라간눈,보통,대칭,상삼백,중,보통,하강형,완만,보통,좁음,중,보통,보통,균형,들창코,소,얇음,아랫입술우세,수평,보통,보통,긴,보통,둥근,보통,균형,보통,넓음,돌출,보통,삼백안,초승달눈썹,들창코,다문입,보통이마,둥근턱,계란형,보통인중,넓은광대
F0053_01_1_M.png,F0053,중,장,보통,처진눈,좁음,대칭,하삼백,장,가늘,상승형,완만,넓음,넓음,단,보통,높음,길쭉,매부리,소,보통,아랫입술우세,처진입,보통,넓음,보통,넓음,보통,길쭉,균형,보통,넓음,평탄,높음,삼백안,초승달눈썹,단코,보통입,보통이마,각턱,계란형,보통인중,평평한광대
F0054_01_1_M.png,F0054,중,단,보통,수평,보통,대칭,정상,중,보통,수평,완만,좁음,보통,중,보통,보통,균형,보통,대,보통,아랫입술우세,올라간입,보통,좁음,보통,보통,뾰족,보통,균형,보통,넓음,보통,보통,도화안,연미,보통코,보통입,좁은이마,보통턱,보통형,보통인중,보통광대
F0055_01_1_M.png,F0055,대,장,보통,수평,보통,대칭,정상,단,굵은,하강형,완만,넓음,보통,중,보통,보통,넓적,들창코,중,보통,아랫입술우세,수평,좁음,보통,보통,넓음,둥근,넓적,균형,긴,넓음,보통,보통,공작안,팔자눈썹,들창코,일자입,좁은이마,각턱,둥근형,긴인중,보통광대
F0056_01_1_M.png,F0056,중,중,둥근형,수평,보통,대칭,정상,중,가늘,수평,아치형,보통,보통,장,보통,보통,길쭉,보통,소,보통,아랫입술우세,수평,좁음,보통,짧음,좁음,보통,길쭉,균형,긴,좁음,보통,보통,도화안,초승달눈썹,보통코,보통입,좁은이마,짧은턱,계란형,긴인중,보통광대
F0057_01_1_M.png,F0057,중,장,보통,수평,좁음,대칭,상삼백,장,가늘,하강형,직선,좁음,보통,단,좁음,낮음,길쭉,매부리,중,두꺼움,아랫입술우세,수평,넓음,좁음,짧음,넓음,보통,길쭉,균형,보통,넓음,돌출,보통,삼백안,보통눈썹,단코,받침입,좁은이마,짧은턱,계란형,보통인중,넓은광대
F0058_01_1_M.png,F0058,중,단,보통,처진눈,보통,비대칭,정상,장,굵은,하강형,직선,좁음,넓음,중,좁음,보통,길쭉,매부리,소,보통,아랫입술우세,처진입,넓음,넓음,짧음,좁음,뾰족,보통,역삼각,긴,좁음,돌출,높음,음양안,연미,보통코,보통입,넓은이마,V라인턱,역삼각형,긴인중,높은광대
F0059_01_1_M.png,F0059,중,중,보통,올라간눈,보통,대칭,정상,중,보통,수평,직선,보통,좁음,중,좁음,낮음,균형,보통,소,보통,아랫입술우세,수평,넓음,보통,보통,좁음,보통,보통,균형,긴,좁음,돌출,낮음,보통눈,일자눈썹,보통코,보통입,높은이마,보통턱,계란형,긴인중,낮은광대
F0060_01_1_M.png,F0060,중,단,둥근형,올라간눈,좁음,대칭,정상,중,가늘,상승형,완만,좁음,보통,단,좁음,보통,균형,매부리,중,두꺼움,아랫입술우세,수평,좁음,좁음,보통,보통,뾰족,보통,균형,보통,넓음,보통,보통,보통눈,초승달눈썹,단코,받침입,좁은이마,보통턱,보통형,보통인중,보통광대
F0061_01_1_M.png,F0061,소,중,세장형,수평,좁음,대칭,정상,장,굵은,하강형,직선,좁음,좁음,중,좁음,낮음,균형,매부리,중,보통,아랫입술우세,올라간입,넓음,보통,보통,좁음,뾰족,넓적,균형,보통,좁음,돌출,보통,보통눈,연미,보통코,보통입,높은이마,V라인턱,둥근형,보통인중,보통광대
F0062_01_1_M.png,F0062,중,단,보통,올라간눈,넓음,대칭,정상,중,보통,수평,완만,보통,보통,중,보통,보통,균형,보통,대,보통,아랫입술우세,올라간입,보통,보통,짧음,보통,뾰족,보통,균형,보통,보통,보통,보통,보통눈,초승달눈썹,보통코,보통입,보통이마,짧은턱,보통형,보통인중,보통광대
F0063_01_1_M.png,F0063,대,장,보통,처진눈,넓음,비대칭,상삼백,단,굵은,상승형,아치형,넓음,넓음,중,넓음,낮음,넓적,들창코,중,보통,아랫입술우세,처진입,보통,좁음,긴,좁음,둥근,보통,균형,짧음,넓음,돌출,높음,음양안,단미,들창코,보통입,좁은이마,둥근턱,계란형,짧은인중,높은광대
F0064_01_1_M.png,F0064,소,중,세장형,올라간눈,보통,비대칭,정상,중,가늘,수평,직선,보통,좁음,중,보통,보통,균형,매부리,중,보통,아랫입술우세,수평,넓음,좁음,보통,보통,보통,보통,균형,보통,보통,보통,보통,음양안,일자눈썹,보통코,일자입,좁은이마,보통턱,계란형,보통인중,보통광대
F0065_01_1_M.png,F0065,중,중,세장형,수평,보통,비대칭,상삼백,단,굵은,수평,완만,좁음,보통,단,넓음,보통,넓적,매부리,중,보통,아랫입술우세,처진입,좁음,좁음,긴,넓음,둥근,넓적,균형,보통,넓음,보통,낮음,음양안,연미,주먹코,보통입,좁은이마,각턱,둥근형,보통인중,낮은광대
F0066_01_1_M.png,F0066,중,단,둥근형,처진눈,보통,대칭,상삼백,장,가늘,상승형,완만,보통,넓음,중,좁음,낮음,길쭉,매부리,중,보통,아랫입술우세,처진입,넓음,보통,보통,보통,보통,길쭉,균형,보통,좁음,보통,높음,삼백안,초승달눈썹,보통코,보통입,높은이마,보통턱,계란형,보통인중,보통광대
F0067_01_1_M.png,F0067,중,중,둥근형,수평,넓음,대칭,정상,중,보통,수평,완만,보통,보통,중,보통,보통,균형,보통,중,보통,아랫입술우세,올라간입,보통,보통,짧음,좁음,보통,보통,균형,보통,좁음,보통,낮음,도화안,초승달눈썹,보통코,보통입,보통이마,짧은턱,계란형,보통인중,낮은광대
F0068_01_1_M.png,F0068,중,중,보통,수평,넓음,대칭,정상,단,보통,수평,완만,보통,좁음,중,보통,보통,넓적,보통,중,보통,아랫입술우세,수평,좁음,좁음,보통,넓음,뾰족,보통,균형,보통,보통,평탄,보통,도화안,초승달눈썹,보통코,일자입,좁은이마,각턱,각진형,보통인중,평평한광대
F0069_01_1_M.png,F0069,소,단,세장형,올라간눈,넓음,대칭,정상,단,보통,수평,완만,보통,보통,중,넓음,보통,넓적,매부리,대,두꺼움,아랫입술우세,올라간입,보통,보통,보통,보통,보통,보통,균형,짧음,보통,보통,보통,사안,초승달눈썹,주먹코,복입,보통이마,보통턱,계란형,짧은인중,보통광대
F0070_01_1_M.png,F0070,대,중,둥근형,처진눈,좁음,대칭,하삼백,장,보통,상승형,완만,보통,넓음,중,보통,낮음,균형,매부리,소,두꺼움,아랫입술우세,처진입,보통,넓음,짧음,좁음,뾰족,보통,균형,보통,보통,보통,높음,삼백안,초승달눈썹,보통코,받침입,보통이마,V라인턱,보통형,보통인중,보통광대
F0071_01_1_M.png,F0071,소,중,세장형,처진눈,넓음,대칭,상삼백,단,보통,상승형,아치형,넓음,넓음,단,좁음,보통,균형,들창코,중,보통,아랫입술우세,처진입,좁음,넓음,보통,좁음,보통,길쭉,균형,긴,좁음,평탄,높음,삼백안,초승달눈썹,들창코,보통입,좁은이마,보통턱,계란형,긴인중,평평한광대
F0072_01_1_M.png,F0072,대,장,둥근형,처진눈,넓음,비대칭,정상,장,보통,하강형,직선,넓음,보통,단,보통,높음,균형,들창코,소,두꺼움,아랫입술우세,처진입,보통,넓음,짧음,넓음,둥근,길쭉,역삼각,긴,좁음,보통,낮음,음양안,보통눈썹,들창코,받침입,보통이마,둥근턱,역삼각형,긴인중,낮은광대
F0073_01_1_M.png,F0073,대,중,둥근형,처진눈,보통,대칭,상삼백,중,가늘,상승형,아치형,보통,넓음,단,보통,낮음,균형,들창코,중,두꺼움,아랫입술우세,처진입,보통,보통,짧음,좁음,뾰족,길쭉,균형,보통,좁음,보통,높음,삼백안,초승달눈썹,들창코,받침입,보통이마,V라인턱,긴형,보통인중,보통광대
F0075_01_1_M.png,F0075,소,중,세장형,수평,넓음,대칭,정상,단,보통,수평,완만,보통,보통,중,보통,보통,균형,보통,중,두꺼움,아랫입술우세,수평,보통,좁음,보통,보통,보통,보통,균형,짧음,보통,보통,보통,보통눈,초승달눈썹,보통코,받침입,좁은이마,보통턱,계란형,짧은인중,보통광대
F0076_01_1_M.png,F0076,대,중,둥근형,처진눈,좁음,대칭,상삼백,중,굵은,상승형,아치형,보통,넓음,단,좁음,보통,균형,들창코,중,두꺼움,아랫입술우세,처진입,보통,보통,짧음,좁음,둥근,보통,균형,보통,좁음,평탄,높음,삼백안,보통눈썹,들창코,받침입,보통이마,둥근턱,계란형,보통인중,평평한광대
F0077_01_1_M.png,F0077,중,장,보통,처진눈,보통,대칭,상삼백,단,보통,상승형,아치형,보통,넓음,중,보통,낮음,균형,들창코,중,보통,아랫입술우세,처진입,보통,보통,짧음,보통,보통,보통,균형,보통,보통,보통,높음,삼백안,초승달눈썹,들창코,보통입,보통이마,짧은턱,계란형,보통인중,보통광대
F0078_01_1_M.png,F0078,중,중,둥근형,수평,넓음,대칭,정상,단,가늘,하강형,완만,보통,보통,중,보통,보통,균형,보통,중,보통,아랫입술우세,수평,좁음,보통,보통,보통,뾰족,보통,균형,보통,보통,보통,보통,도화안,초승달눈썹,보통코,일자입,좁은이마,보통턱,보통형,보통인중,보통광대
F0079_01_1_M.png,F0079,대,중,보통,수평,좁음,대칭,상삼백,장,굵은,하강형,직선,보통,좁음,장,좁음,낮음,길쭉,들창코,소,얇음,아랫입술우세,수평,넓음,보통,짧음,넓음,뾰족,넓적,균형,긴,좁음,돌출,높음,삼백안,농미,보통코,다문입,높은이마,짧은턱,둥근형,긴인중,높은광대
F0080_01_1_M.png,F0080,대,장,둥근형,수평,보통,대칭,정상,단,가늘,수평,완만,좁음,좁음,중,좁음,낮음,길쭉,보통,중,얇음,아랫입술우세,수평,보통,좁음,보통,보통,보통,보통,균형,보통,넓음,돌출,보통,공작안,초승달눈썹,보통코,일자입,좁은이마,보통턱,계란형,보통인중,넓은광대
F0081_01_1_M.png,F0081,대,장,둥근형,수평,보통,대칭,정상,장,굵은,수평,직선,넓음,좁음,장,보통,낮음,길쭉,매부리,소,얇음,아랫입술우세,수평,넓음,넓음,짧음,좁음,보통,넓적,역삼각,보통,좁음,돌출,높음,공작안,일자눈썹,보통코,다문입,넓은이마,짧은턱,역삼각형,보통인중,높은광대
F0082_01_1_M.png,F0082,소,단,세장형,올라간눈,넓음,비대칭,정상,단,보통,수평,아치형,보통,보통,단,보통,높음,넓적,보통,대,두꺼움,아랫입술우세,수평,좁음,좁음,보통,보통,보통,보통,균형,짧음,보통,평탄,낮음,음양안,초승달눈썹,단코,받침입,좁은이마,보통턱,계란형,짧은인중,평평한광대
F0084_01_1_M.png,F0084,소,단,세장형,수평,좁음,대칭,정상,중,보통,하강형,완만,좁음,좁음,단,보통,높음,넓적,들창코,대,두꺼움,아랫입술우세,올라간입,좁음,좁음,긴,넓음,뾰족,보통,균형,보통,넓음,평탄,보통,보통눈,연미,들창코,복입,좁은이마,각턱,각진형,보통인중,평평한광대
F0085_01_1_M.png,F0085,중,중,보통,수평,좁음,대칭,정상,중,보통,하강형,완만,좁음,보통,중,보통,보통,균형,보통,대,보통,아랫입술우세,수평,보통,좁음,보통,보통,보통,보통,균형,보통,보통,보통,낮음,도화안,연미,보통코,보통입,좁은이마,보통턱,계란형,보통인중,낮은광대
F0086_01_1_M.png,F0086,중,중,보통,수평,넓음,대칭,정상,중,보통,수평,완만,좁음,좁음,중,보통,보통,길쭉,매부리,대,보통,아랫입술우세,올라간입,보통,보통,보통,보통,뾰족,보통,균형,짧음,보통,보통,보통,도화안,연미,보통코,보통입,보통이마,보통턱,보통형,짧은인중,보통광대
F0087_01_1_M.png,F0087,중,장,세장형,수평,보통,대칭,상삼백,장,보통,수평,직선,넓음,보통,장,넓음,낮음,균형,보통,대,보통,아랫입술우세,올라간입,넓음,넓음,짧음,보통,뾰족,보통,균형,보통,보통,돌출,보통,삼백안,일자눈썹,주먹코,보통입,넓은이마,짧은턱,보통형,보통인중,보통광대
F0088_01_1_M.png,F0088,중,장,보통,수평,넓음,대칭,정상,단,가늘,수평,아치형,보통,좁음,중,넓음,보통,균형,보통,대,두꺼움,아랫입술우세,올라간입,좁음,보통,짧음,좁음,뾰족,길쭉,균형,보통,보통,평탄,보통,도화안,초승달눈썹,주먹코,복입,좁은이마,V라인턱,긴형,보통인중,평평한광대
F0089_01_1_M.png,F0089,대,장,둥근형,수평,좁음,대칭,정상,장,굵은,하강형,직선,보통,좁음,장,좁음,낮음,길쭉,들창코,소,얇음,아랫입술우세,수평,넓음,보통,짧음,넓음,보통,넓적,균형,긴,보통,돌출,높음,공작안,농미,보통코,다문입,높은이마,짧은턱,둥근형,긴인중,높은광대
F0090_01_1_M.png,F0090,소,단,세장형,수평,보통,대칭,정상,단,보통,하강형,아치형,좁음,보통,단,보통,높음,넓적,보통,중,두꺼움,아랫입술우세,수평,좁음,좁음,보통,보통,보통,보통,균형,보통,넓음,평탄,보통,보통눈,연미,단코,받침입,좁은이마,보통턱,계란형,보통인중,평평한광대
F0091_01_1_M.png,F0091,중,단,보통,수평,보통,대칭,정상,단,보통,수평,완만,좁음,좁음,단,보통,높음,넓적,보통,대,두꺼움,아랫입술우세,수평,좁음,좁음,보통,보통,뾰족,보통,균형,보통,넓음,평탄,보통,도화안,연미,단코,받침입,좁은이마,보통턱,보통형,보통인중,평평한광대
F0092_01_1_M.png,F0092,소,중,세장형,수평,넓음,대칭,정상,단,보통,수평,완만,보통,좁음,중,좁음,보통,균형,매부리,중,보통,아랫입술우세,수평,보통,좁음,보통,보통,뾰족,넓적,균형,보통,보통,보통,보통,보통눈,초승달눈썹,보통코,일자입,좁은이마,보통턱,둥근형,보통인중,보통광대
F0093_01_1_M.png,F0093,중,단,보통,수평,보통,대칭,정상,단,보통,수평,완만,좁음,보통,중,보통,보통,균형,보통,대,보통,아랫입술우세,수평,보통,보통,보통,보통,보통,보통,균형,보통,보통,보통,낮음,도화안,연미,보통코,보통입,보통이마,보통턱,계란형,보통인중,낮은광대
F0094_01_1_M.png,F0094,대,중,둥근형,처진눈,보통,대칭,상삼백,단,가늘,상승형,아치형,좁음,넓음,단,보통,보통,넓적,들창코,중,두꺼움,아랫입술우세,처진입,보통,좁음,짧음,보통,보통,보통,균형,짧음,보통,평탄,높음,삼백안,초승달눈썹,들창코,받침입,좁은이마,짧은턱,계란형,짧은인중,평평한광대
F0095_01_1_M.png,F0095,중,단,보통,올라간눈,보통,대칭,정상,단,보통,수평,완만,보통,좁음,단,보통,보통,균형,보통,중,보통,아랫입술우세,수평,보통,보통,보통,보통,보통,보통,균형,보통,보통,보통,보통,보통눈,초승달눈썹,단코,일자입,보통이마,보통턱,계란형,보통인중,보통광대
F0096_01_1_M.png,F0096,중,중,보통,수평,보통,대칭,정상,중,보통,수평,직선,보통,좁음,장,보통,낮음,길쭉,보통,대,보통,아랫입술우세,올라간입,보통,보통,짧음,좁음,뾰족,보통,균형,짧음,좁음,돌출,보통,도화안,일자눈썹,보통코,보통입,보통이마,V라인턱,보통형,짧은인중,보통광대
F0097_01_1_M.png,F0097,중,중,보통,올라간눈,좁음,대칭,정상,중,가늘,수평,완만,보통,보통,중,좁음,보통,길쭉,보통,중,보통,아랫입술우세,수평,좁음,보통,짧음,좁음,뾰족,길쭉,균형,긴,좁음,보통,보통,보통눈,초승달눈썹,보통코,일자입,좁은이마,V라인턱,긴형,긴인중,보통광대
F0098_01_1_M.png,F0098,대,중,둥근형,처진눈,좁음,대칭,정상,장,가늘,상승형,완만,좁음,넓음,단,좁음,높음,넓적,매부리,소,두꺼움,아랫입술우세,처진입,좁음,좁음,보통,보통,뾰족,보통,균형,짧음,넓음,평탄,높음,도화안,초승달눈썹,단코,받침입,좁은이마,보통턱,보통형,짧은인중,평평한광대
F0099_01_1_M.png,F0099,대,중,보통,올라간눈,보통,대칭,정상,중,굵은,수평,완만,보통,보통,중,좁음,보통,균형,보통,중,보통,아랫입술우세,올라간입,보통,보통,보통,좁음,보통,넓적,균형,보통,좁음,돌출,보통,보통눈,보통눈썹,보통코,보통입,보통이마,보통턱,둥근형,보통인중,보통광대
F0100_01_1_M.png,F0100,중,중,보통,올라간눈,보통,대칭,정상,중,가늘,수평,완만,좁음,좁음,중,보통,보통,길쭉,보통,중,두꺼움,아랫입술우세,수평,보통,보통,짧음,보통,뾰족,길쭉,균형,짧음,보통,보통,보통,보통눈,초승달눈썹,보통코,받침입,보통이마,짧은턱,긴형,짧은인중,보통광대
F0101_01_1_M.png,F0101,중,중,둥근형,수평,넓음,대칭,정상,단,보통,수평,아치형,보통,보통,중,보통,보통,균형,보통,대,보통,아랫입술우세,올라간입,좁음,좁음,보통,넓음,보통,보통,균형,보통,넓음,보통,보통,도화안,초승달눈썹,보통코,보통입,좁은이마,각턱,계란형,보통인중,보통광대
F0102_01_1_M.png,F0102,중,장,세장형,올라간눈,넓음,비대칭,하삼백,단,가늘,수평,아치형,좁음,보통,단,좁음,높음,넓적,들창코,중,두꺼움,아랫입술우세,처진입,좁음,좁음,긴,좁음,둥근,길쭉,균형,보통,좁음,평탄,낮음,음양안,초승달눈썹,들창코,받침입,좁은이마,둥근턱,계란형,보통인중,평평한광대
F0103_01_1_M.png,F0103,중,단,보통,수평,넓음,대칭,정상,단,가늘,수평,아치형,좁음,보통,단,넓음,높음,넓적,매부리,대,두꺼움,아랫입술우세,수평,좁음,좁음,짧음,넓음,보통,보통,균형,긴,넓음,평탄,낮음,도화안,초승달눈썹,보통코,받침입,좁은이마,짧은턱,계란형,긴인중,평평한광대
F0104_01_1_M.png,F0104,소,중,보통,올라간눈,보통,대칭,정상,중,가늘,수평,완만,보통,좁음,중,보통,보통,균형,보통,대,보통,아랫입술우세,올라간입,넓음,보통,보통,좁음,뾰족,길쭉,균형,보통,보통,보통,낮음,보통눈,초승달눈썹,보통코,보통입,높은이마,V라인턱,긴형,보통인중,낮은광대
